Submission ID,Respondent ID,Submitted at,Loan Id,"Using a scale from 0 (not likely) to 10 (very likely), how likely are you to recommend MoPhones to friends or family?",What is the main reason for your score?,What is one thing we could do to improve your experience with us?,Are you happy with the quality and performance of your MoPhones device?,Are you happy with the service and support provided by MoPhones?,Have you ever experienced a delay in your payment reflecting in your Mophones account?,Have you ever had difficulty getting assistance from MoPhones customer support when needed?,(If Yes) – Please describe the challenge you faced and how we can improve your experience.,Have you experienced any battery-related issues with your MoPhones device?,Have you used the MoPhones app (MoApp) to manage your account or make payments?,Which communication channel do you prefer when contacting MoPhones for inquiries or support?,Have you ever had your phone lock despite making a payment on time?,Any other Feedback?
2EB87Zg,dozJVr,4/22/2025 15:53,rec4fZqbuemGwnwZF,10,,,Yes,Yes,No,No,No,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
MeDKVb8,Jrovpz,4/22/2025 15:53,recl4egRn2rQH4mO0,,,,Yes,Yes,,,,,,,,
Y5RD9G0,Jrov97,4/22/2025 15:53,recQJWCGAZ7yuy0k7,8,,,Yes,Yes,Yes,No,No,,,,,
9qXG4Z4,GVbAez,4/22/2025 15:54,rec6r5JWy61FR24fB,9,,,Yes,Yes,No,No,,,,,,
xXjxvbv,RQjqej,4/22/2025 15:54,recEx6e0qdGKb242p,10,,,Yes,Yes,No,No,No,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Had some challenges at the beginning but they were sorted.The only big problem I have with device is about battery.It doesn't last even 3 hours after full charge.
Ek5z6ao,6YPEOk,4/22/2025 15:55,recCz1heG9HYapz1Z,10,,,Yes,Yes,Yes,,,,,,,
GxKvb5p,JrovLR,4/22/2025 15:56,recqipYF4bAylKqe7,6,,,Yes,Yes,No,"No, I have never looked for customer care",0,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,0
J9dKoXo,2YoGkD,4/22/2025 15:57,recbprJ3ndI6F0BhS,7,,,No,Yes,Yes,Yes,Someday I texted WhatsApp,Yes,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,NA
yPNZ1pW,gVz6Yd,4/22/2025 15:57,recO4cc15FMgzK9Jf,5,,,Yes,No,Yes,Yes,Weekends,No,"No, I have never used it",Reach Out via a Sales Agent,Yes,Weekend
jabDvGE,NxP2RN,4/22/2025 15:58,recz6bPleTRitJUVS,3,,,Yes,No,Yes,Yes,"I came to your shop with a complain about the phone battery bt bt instead of charging it, they gave me back the phone with the problem",Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
VLjENej,gVz6z1,4/22/2025 15:59,receqs5xvBzt3P9sN,8,,,Yes,Yes,No,No,have always been satisfied.,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,"despite the challenge have had, am equally satisfied with your services."
LZz1OB2,qqz1o7,4/22/2025 15:59,rec9xhHoNXXxZVhm1,6,,,Yes,Yes,No,No,T,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,The MoApp should show the history of all transactions relating to a device payment.
pbdxZrq,BYeWY1,4/22/2025 15:59,rect7DnuaYY5R6mKZ,8,,,Yes,Yes,No,No,I love ur phones,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Goodservices viva!!
Zjo5QEy,6YPE0A,4/22/2025 16:00,recLaXBaXTBTK6jWH,10,,,Yes,Yes,No,No,??,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,???????
yPNZ71x,7YEkqL,4/22/2025 16:01,recJKLuwWfZr7TL15,8,,,Yes,Yes,,,,,,,,
PdDjPGB,ZAeBjy,4/22/2025 16:01,recrJt7yyQsVpOkQI,9,,,Yes,Yes,No,No,No,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Excellent performance in all aspects.
RGdKVNJ,OZExaa,4/22/2025 16:02,rec1ZRnYchBJhvsCt,4,,,Yes,Yes,No,No,"Okay the challenge am facing is in form of a question: Why is it that I can't go to YouTube even I selected it, it doesn't play so how can you help me there plz?.",No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,"No am just thankful for you people coz when I encounter a problem and reach out you are always available to sort me out thank you so,so much."
dWNqRGz,a1zMYW,4/22/2025 16:03,rec2TngHkBitHsQXn,9,,,Yes,Yes,Yes,Yes,Had asked for 3 days unlock but it locked within one day,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Nothing
VLjEx6l,x7zWdE,4/22/2025 16:04,rec0ldrXhYF7VIQus,10,,,Yes,Yes,No,Yes,I don't like you people disconnect my phone on Monday,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Nothing
jabDErR,rQYZAL,4/22/2025 16:04,recEK2nhHTyHdByC8,8,,,Yes,Yes,No,Yes,Pick phone call better,No,"No, I have never used it",Free SMS – 25044,No,"How private is my data?
 If indeed you review our feedback contact me with an answer."
81zo2dx,x7zW6y,4/22/2025 16:04,recpTCQASRig7Tylw,10,,,Yes,Yes,No,No,,,,,,
rjBygL5,Jro4YJ,4/22/2025 16:04,recAASzdygMslxkcL,9,,,Yes,Yes,Yes,No,,,,,,
GNVKNZ,LNYObO,4/22/2025 16:06,recjLCHYg0W63oFyq,9,,,Yes,Yes,No,No,I have never encountered any problem,No,"No, I have never used it",Reach Out via a Sales Agent,No,I really appreciate the sales lady for the good work she did and helping out when i was purchasing the device ??
GxKvkoz,O9LMda,4/22/2025 16:06,recOeT48Om69GV04r,5,,,Yes,Yes,No,Yes,Texts are not replied at all,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Nothing
Xxrl9Yd,jrzV2R,4/22/2025 16:06,receZqSPKKw8UDIKZ,10,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,I will definitely refer someone
KYeQOA8,7YEkGa,4/22/2025 16:07,recn0q1aDa7KmcSx8,10,,,Yes,Yes,No,No,not at all,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,well organized
J9dKG2d,rQYZql,4/22/2025 16:07,recZlwbPcb948kWi0,1,,,Yes,Yes,No,No,Switching off phone if no payment has not been done,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,No any other
ODl1raY,OZEN8g,4/22/2025 16:07,recpAMvI9BVLq1BIk,0,,,Yes,Yes,Yes,No,Improve on unlocked phones,,,,,
q4aZp48,G40OMj,4/22/2025 16:08,recLLYUeTfcWFZq8P,,,,No,Yes,,,,,,,,
gDejpDM,2YoWAV,4/22/2025 16:09,recAx68tGudE5z4bl,10,,,Yes,Yes,Yes,No,No challenge,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,N/A
68eJ9jA,oZzPM1,4/22/2025 16:10,recnPnRd0SWb2mvlT,10,,,Yes,Yes,No,No,Referred a friend but didnt get my discount,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
81zoWbz,M2V4Qp,4/22/2025 16:12,recyRMj9xxAynZxRG,1,,,Yes,Yes,,,,,,,,
QKM2XlG,pNzENb,4/22/2025 16:14,recnoKCiqFeiWsmFx,7,,,Yes,Yes,No,Yes,No,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,I need phone repaired
J9dKgeY,vazZJg,4/22/2025 16:14,recwqeSGspDARCPMk,6,,,No,No,No,Yes,I'm unable to download some applications. I get restricted by admin notifications,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,Help me disable admin restrictions on my phone.
obD6pr1,yb1QQp,4/22/2025 16:14,recHpffrBFmnnaIBH,10,,,Yes,Yes,No,No,Long call waits,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,It working well
rjBypZN,W6qW6a,4/22/2025 16:14,reck6CILqLGLsGpKs,5,,,No,Yes,No,Yes,When traveling outside the country I can not use other simcards on my phone,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,The phone was waterproof but when it dropped in water And motherboard got destroyed I was told to pay for that repair clearly that was misinformation and also in warranty I had just used the phone for three months
D4K2YRN,0Yk9gN,4/22/2025 16:15,rec0JjOk4k9QBjUMA,10,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Please support me in adding 2 days after the expiry of my account
yPNZGRd,AY9g0D,4/22/2025 16:15,recz9P2LdiWAYmkfD,9,,,Yes,Yes,No,No,I have not experienced any challenge but you should adjust your payments to be done daily not weekly,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,I suggest daily payments
pbdx9yE,M2V49E,4/22/2025 16:15,recGimqA8tvYvh7FI,9,,,Yes,Yes,No,No,No challenge experienced,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Am okay
LZz1yJp,VaNKQy,4/22/2025 16:17,recjmq1ePLQnoBUWg,10,,,Yes,Yes,No,No,No applicable,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No applicable
BzK45ye,GVbZqz,4/22/2025 16:17,recflB5Ag0Odf6LTN,5,,,,,,,,,,,,
44BXdQB,5YV7Rb,4/22/2025 16:18,reczlWsMPQNj2ZuLG,6,,,Yes,No,Yes,Yes,I had an issue whereby my device battery bulged causing the screen to break and when I took it for fixing with warranty it was never replaced I now use a phone which has a cracked screen and the on screen fingerprints is no longer functional.,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,N/A
VLjEy76,7YEyJ9,4/22/2025 16:18,recgC6NF6aU6ykuWP,10,,,Yes,Yes,Yes,No,No,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,Yes,None
NpD5y5G,NxPjab,4/22/2025 16:19,recNzVJ7ttBMXABMd,4,,,No,Yes,No,"No, I have never looked for customer care",My device at times has speaker issues,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,How do I use warranty coz my phone has speaker issue at times
BzK4lE5,GVbZyL,4/22/2025 16:19,rec5s4VrSTy6etqE2,8,,,Yes,Yes,No,No,None,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,None
xXjxB8k,4YOMPo,4/22/2025 16:19,rec0ITuqc7Hbmh5I0,9,,,Yes,Yes,Yes,No,So far so good,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"Maybe due to cureent economic times the installmwnts couod be atleast 1300 or there aboout, plus also consedaration on not locking phone before pay days, the deffier from.one customer to the other, mine is on 7th"
obD61R1,AY9ENz,4/22/2025 16:20,recYAvE5PT3yCiZDq,4,,,No,No,No,No,My phone has issues already,,,,,
81zoyLA,eGzVjk,4/22/2025 16:20,rectqITkbI5eY5Jb0,10,,,Yes,Yes,No,No,No I have never experienced any challenge,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,None at the moment
VLjEALJ,PNr7g1,4/22/2025 16:20,reckiVrQkFIioiJEJ,10,,,Yes,Yes,No,No,None,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,My battery is not last for long
D4K2Pzj,oZzqZP,4/22/2025 16:21,recKY4tcNrxoVVP81,0,,,No,Yes,No,Yes,"I tried contacting one of your whatsapp number concerning your phone which I'm using, I didn't get a response",No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,No
2EB85v9,rQYea2,4/22/2025 16:21,recZt7pRX0FTdSggL,10,,,No,No,No,"No, I have never looked for customer care",None,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"I am deeply concerned that MoPhone may be accessing my phone without my consent. On several occasions, I’ve noticed unusual activity such as apps opening and closing on their own, scrolling happening without my input, and my chats being accessed — all while I have no control. This is both alarming and unsettling. I would appreciate it if you could look into this matter and clarify what might be causing such occurrences."
jabD2KJ,jrzjkY,4/22/2025 16:21,recOF9e6eGRiYcPxy,10,,,Yes,Yes,No,No,Everything is okay but i feelclike you could.be adding someone a day before the locking of the device or a reminder for it...,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,,
XxrlkNg,jrzKa9,4/22/2025 16:22,recvc39EvMYnkBKy9,10,,,Yes,Yes,No,"No, I have never looked for customer care",Na,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,NA
NpD5QGp,6YPqxJ,4/22/2025 16:23,rect5BpHLRHHJ1biS,4,,,Yes,Yes,,,,,,,,
44BXyv5,vazlZQ,4/22/2025 16:23,recl5jFVrJP8eOklC,10,,,Yes,Yes,No,No,Very nice,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
GxKv46o,M2VWyk,4/22/2025 16:23,recLzhGQm212rd3Zg,4,,,Yes,No,Yes,Yes,I once forgot my phone lock password and you guys mkaona mnikamue proper,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,A question .........nkimaliza payment will you be still managing this handset?
gDej1VN,5YVN9Q,4/22/2025 16:23,rec1I4Edrs4d5BdhW,10,,,Yes,Yes,No,No,None,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,None
vGrjvjl,GVbMDZ,4/22/2025 16:24,rec8xC0dTeg51IJAv,7,,,Yes,Yes,Yes,No,No challenge,,,,,
PdDjePV,6YPq85,4/22/2025 16:24,rec3F60HEZQdHj8kA,10,,,Yes,Yes,No,No,It's better keep up,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,It's better
RGdKaAv,1yEoBL,4/22/2025 16:24,recvfQIzxKzdeDBFb,9,,,Yes,Yes,No,Yes,Online chats don't respond after hours,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Need fast recovery time
VLjEAOE,AY9kvy,4/22/2025 16:25,recFgufIW70gKSaF7,0,,,No,No,Yes,No,I don't know if it's the phone it self because it works very slowly,Yes,"Yes, but I am not satisfied with the MoApp",MoPhones App,No,I don't like the way thud phone processes it's data because it's very slow and sometimes it hangs and there a lot of space here
BzK4lWY,OZER5a,4/22/2025 16:25,rec8l8Z3r5ZlxJgYm,5,,,Yes,Yes,Yes,No,Payment had not reflected,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Offer some discounts once we pay on time
PdDjWjB,1YRjvp,4/22/2025 16:25,recQqKMpvU6GUh8jS,8,,,Yes,Yes,Yes,No,I was going through a financial crisis and how to improve is just to work hard,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
dWNq1BV,7zvQVZ,4/22/2025 16:25,reccz2gPGEAGFehDC,9,,,Yes,Yes,No,No,None,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,I am satisfied
yPNZRJ0,PNr7Le,4/22/2025 16:25,recdvLol2P0WDO0vl,10,,,Yes,Yes,No,No,I have nothing to add,Yes,"No, I have never used it",MoPhones App,No,Moapp is not available in apple
Ek5zrl4,EG6pvN,4/22/2025 16:25,recVMoFHf252ywAMP,10,,,Yes,Yes,No,No,Nothing,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,I appreciate
aQeNPZW,ljzp9X,4/22/2025 16:25,rec0CsNk3ewkMBGBu,3,,,,,,,,,,,,
dWNq4xq,7YEQpL,4/22/2025 16:26,recUXVKFRJ94o0Xtx,5,,,Yes,Yes,No,Yes,Being told to take photos for the second time if I want another phone yet you have my details,,,,,
Zjo5LXo,jrzKKa,4/22/2025 16:27,rec9MogCjS6ixcJtm,1,,,,,,,,,,,,
xXjxLay,X7Qj2O,4/22/2025 16:28,recfGn21idkkksfKD,10,,,Yes,Yes,No,No,Understand in economics situation,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Poor customer service
rjBybV5,OZERrA,4/22/2025 16:28,recrmy7WSvZjq30aU,10,,,Yes,Yes,Yes,No,N/A,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,N/A
KYeQN9M,DoaQ25,4/22/2025 16:29,recpY4yLXU4vvvMrB,10,,,Yes,Yes,Yes,No,,,,,,
rjBybNp,4YO5BB,4/22/2025 16:30,recQwlUSYREf8Oq80,5,,,No,Yes,No,No,No challenge at the moment,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
q4aZ7B2,VaNrxl,4/22/2025 16:30,recYaOD7HcWZhQqDQ,3,,,No,No,No,Yes,My phone has been overheating from day 1 till now. No resolve. I have a small baby n can't make it to the offices in town. Bottleneck,Yes,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,"Payment you guys are not late. Quality of phone, battery, not great. For the sum of money we pay, the phones could DEFINITELY be better"
Ek5zeDX,W6qyYk,4/22/2025 16:33,recF27j93eHkcruZo,8,,,Yes,Yes,No,"No, I have never looked for customer care",None,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Would recommend mo phones its a 10/10
68eJYe5,Qq4LLX,4/22/2025 16:35,recKGakMTzFkL8QST,5,,,No,,,,,,,,,
pbdxXlb,dozreD,4/22/2025 16:36,recL6XUnkmp58e4Fz,9,,,Yes,Yes,No,No,.,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"I'll recommend this to anyone at anytime
 Then at the bottom of my screen there is this word ""device beling to your organisation "" can it be deleted"
QKM2pvA,pNza4B,4/22/2025 16:36,recCEq4crXYGLkUFQ,10,,,Yes,Yes,No,No,Na,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,N/A
MeDK2R8,OZEvpg,4/22/2025 16:37,recYbbreaZ4DitlYy,6,,,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,Yes
GxKvV1e,x1Z5Py,4/22/2025 16:37,recis4aVIpI8lbhMO,8,,,Yes,Yes,No,No,No,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
obD6ZBb,BYeMEQ,4/22/2025 16:38,recwXq9jtdf3uT7vv,1,,,No,No,No,No,NA,No,"No, I have never used it",Free SMS – 25044,Yes,"It so painful that after successfully paying the loan , the device became inactive , had to go the office and the solution was to factory reset losing all data on the phone , was told that Nuovo app led to all that .. was that my problem? So frustrating."
vGrjax0,2YoQAV,4/22/2025 16:38,recGZd4dTL0wrPBvj,9,,,Yes,Yes,Yes,No,No challenge,No,"Yes, but I am not satisfied with the MoApp",MoPhones App,No,The mophones app has issues most of the time
5B4KYOM,W6qxoQ,4/22/2025 16:39,recv1tFEyKwaqsvG5,8,,,Yes,Yes,Yes,No,No challenges,,,,,
1AkPY44,eGz4kl,4/22/2025 16:39,rec8lTL3b9oZa8H78,0,,,Yes,No,No,Yes,"Like 3 times paid on time but still switched it off, still after making all payment it was still switched off, no reply from your email address even after queries, Had a bad experience with you guys",No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,If the email address doesn't work just remove it sent several emails never been replied
gDejVqM,6YPoaY,4/22/2025 16:39,recZNI80pG0AJlJib,10,,,Yes,Yes,No,No,Have,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
gDejP4M,PNrVqd,4/22/2025 16:41,recflpv0p49810aA9,8,,,No,No,,,,,,,,
vGrj6Yd,OZEOZK,4/22/2025 16:42,recNcTb6N6fAoAhm8,10,,,Yes,Yes,No,No,Nill,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Nill
QKM2qbX,DoagZN,4/22/2025 16:43,receQcYgH7bgNfqtp,10,,,Yes,Yes,No,No,Yes,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,Thank you so much mophones you are the best
2EB8dvM,5YVWJb,4/22/2025 16:45,recV3T2OHDXAUJBqK,4,,,No,Yes,No,No,"The device just goes off when am in a call
 The Face ID stopped working and the earpiece to",No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Can I change the device after finishing the payment
81zoDgA,6YPXjJ,4/22/2025 16:45,recA8DuV3yLD4bP7m,7,,,Yes,Yes,No,"No, I have never looked for customer care",Not applicable,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,Battery drains fast
44BX0AA,RQjEEv,4/22/2025 16:45,recAHPocrT5YrCPOC,8,,,Yes,Yes,Yes,No,45,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"Services are great
 MO phones should offer discounts on good clients who meet their payments on time"
kd9ajg1,jrzOeQ,4/22/2025 16:46,recxcmdUN7WwNt0ut,3,,,Yes,No,No,No,N/A,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Kindly revert back my payment to 7 days instead of 4 days.Economy is really hard and am really struggling to reach the deadline.And with those few days I will just give up.
jabDr29,rQYzVp,4/22/2025 16:46,recu67IarDCfhWwc6,10,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Sometimes when I put my phone on charger..it brings a warning of moist
2EB8d2M,yb1Wy4,4/22/2025 16:47,recZixuN8JQSPpLtb,10,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Best services
9qXGANV,EG64bq,4/22/2025 16:47,recy2uadFSJdH3O1u,9,,,Yes,Yes,Yes,No,Its great,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Great
